temperature,pressure,reaction_rate,cooling_efficiency,label,reactor_id,timestamp
117.07,3.6,0.44,0.83,SAFE,B,18
154.54,5.82,0.64,0.61,WARNING,D,80
216.38,7.08,0.86,0.41,CRITICAL,C,116
116.29,3.62,0.44,0.82,SAFE,B,15
128.09,4.16,0.58,0.93,SAFE,C,41
149.26,6.02,0.77,0.56,WARNING,B,72
169.77,6.33,0.77,0.6,WARNING,B,94
121.05,3.77,0.55,0.82,SAFE,C,9
131.11,3.74,0.52,0.88,SAFE,C,20
150.19,5.44,0.73,0.75,WARNING,C,76
203.57,6.77,0.89,0.31,CRITICAL,E,113
133.69,3.99,0.45,0.82,SAFE,C,48
120.37,4.43,0.5,0.92,SAFE,B,59
153.87,4.71,0.76,0.73,WARNING,A,78
124.68,3.85,0.57,0.89,SAFE,E,39
116.06,3.88,0.56,0.86,SAFE,E,10
117.26,3.79,0.54,0.85,SAFE,D,26
161.92,4.77,0.65,0.59,WARNING,D,87
143.94,4.69,0.7,0.61,WARNING,E,67
153.9,5.85,0.66,0.61,WARNING,D,79
153.68,6.06,0.69,0.69,WARNING,C,80
134.16,4.32,0.56,0.82,SAFE,C,58
282.31,7.93,0.81,0.31,CRITICAL,D,137
120.75,3.78,0.54,0.87,SAFE,C,10
120.02,3.64,0.53,0.8,SAFE,C,4
129.16,3.63,0.48,0.82,SAFE,C,51
113.75,3.83,0.5,0.82,SAFE,D,58
123.89,4.22,0.43,0.84,SAFE,A,54
185.92,7.93,0.99,0.21,CRITICAL,B,108
158.8,6.19,0.64,0.63,WARNING,B,83
275.19,7.26,0.94,0.43,CRITICAL,A,133
200.95,7.02,0.84,0.36,CRITICAL,D,113
285.09,8.87,0.99,0.32,CRITICAL,A,136
189.62,9.47,0.89,0.44,CRITICAL,A,109
133.77,4.5,0.53,0.84,SAFE,B,41
124.59,3.67,0.53,0.89,SAFE,D,12
287.46,7.86,0.82,0.47,CRITICAL,D,139
138.31,5.19,0.61,0.75,WARNING,D,63
172.17,6.46,0.69,0.72,WARNING,D,97
271.5,7.03,0.83,0.4,CRITICAL,A,132
114.15,3.81,0.55,0.89,SAFE,B,36
147.71,5.05,0.6,0.7,WARNING,A,72
205.11,8.48,0.81,0.43,CRITICAL,B,114
123.59,4.29,0.47,0.93,SAFE,E,18
165.09,6.43,0.66,0.58,WARNING,E,90
111.56,3.6,0.57,0.83,SAFE,E,36
181.73,8.63,0.86,0.42,CRITICAL,E,107
146.18,5.53,0.65,0.58,WARNING,C,72
151.83,4.75,0.66,0.73,WARNING,A,76
115.3,4.3,0.47,0.93,SAFE,B,8
141.46,5.07,0.77,0.69,WARNING,C,66
167.38,5.13,0.72,0.65,WARNING,A,90
229.31,9.61,0.9,0.21,CRITICAL,D,121
127.61,3.55,0.45,0.84,SAFE,A,10
138.37,5.42,0.8,0.75,WARNING,A,63
152.34,4.9,0.74,0.58,WARNING,E,76
175.99,8.75,0.81,0.21,CRITICAL,D,105
126.53,4.43,0.49,0.88,SAFE,B,34
210.18,9.65,0.8,0.46,CRITICAL,B,116
185.96,6.92,0.94,0.41,CRITICAL,E,108
110.01,3.82,0.4,0.94,SAFE,A,31
162.46,4.66,0.72,0.71,WARNING,C,89
140.65,6.04,0.75,0.75,WARNING,D,65
153.12,6.22,0.78,0.59,WARNING,A,77
178.37,6.7,0.82,0.33,CRITICAL,E,106
253.15,9.19,0.99,0.32,CRITICAL,D,129
148.04,6.22,0.68,0.61,WARNING,B,71
134.22,4.08,0.51,0.91,SAFE,A,55
282.15,9.88,0.82,0.21,CRITICAL,A,135
199.84,7.45,0.81,0.41,CRITICAL,E,112
135.6,6.19,0.77,0.61,WARNING,C,60
120.55,3.53,0.44,0.88,SAFE,A,2
162.6,5.71,0.7,0.73,WARNING,B,87
156.67,5.97,0.67,0.74,WARNING,A,81
128.69,4.11,0.48,0.88,SAFE,D,53
287.7,7.33,0.85,0.29,CRITICAL,E,135
166.62,5.62,0.7,0.72,WARNING,D,91
122.24,3.64,0.46,0.87,SAFE,E,45
230.62,6.52,0.87,0.43,CRITICAL,A,120
111.42,4.33,0.42,0.93,SAFE,C,31
139.79,4.59,0.75,0.69,WARNING,B,64
171.92,9.81,0.86,0.35,CRITICAL,B,104
251.66,7.94,0.85,0.3,CRITICAL,E,127
263.98,6.83,0.89,0.4,CRITICAL,B,131
269.44,9.14,0.99,0.26,CRITICAL,A,131
231.67,7.13,0.96,0.49,CRITICAL,E,121
135.92,5.67,0.7,0.74,WARNING,A,60
111.4,4.01,0.46,0.87,SAFE,C,30
129.06,4.04,0.56,0.88,SAFE,A,30
144.58,5.61,0.65,0.67,WARNING,A,69
112.12,3.63,0.42,0.85,SAFE,E,41
193.46,8.64,0.82,0.29,CRITICAL,C,110
112.42,3.93,0.48,0.87,SAFE,A,44
142.56,5.33,0.69,0.68,WARNING,E,66
145.8,4.91,0.73,0.6,WARNING,A,70
171.57,5.02,0.7,0.65,WARNING,D,96
170.83,5.49,0.62,0.65,WARNING,E,95
189.03,8.05,0.99,0.46,CRITICAL,B,109
145.85,4.81,0.69,0.74,WARNING,B,69
124.07,3.8,0.6,0.82,SAFE,B,25
120.14,4.0,0.58,0.91,SAFE,D,50
111.85,4.13,0.41,0.82,SAFE,B,24
157.02,4.77,0.65,0.69,WARNING,E,81
134.19,4.2,0.48,0.89,SAFE,C,43
140.32,6.26,0.67,0.58,WARNING,A,65
258.84,8.47,0.86,0.34,CRITICAL,C,129
123.76,3.55,0.6,0.93,SAFE,A,49
223.73,7.22,0.88,0.47,CRITICAL,A,118
113.04,4.47,0.52,0.84,SAFE,B,52
